"fYear","month","polygon","n_observations","mean_cfin_0_80","sd_cfin_0_80","min_cfin_0_80","max_cfin_0_80","mean_cgla_0_80","sd_cgla_0_80","min_cgla_0_80","max_cgla_0_80","mean_chyp_0_80","sd_chyp_0_80","min_chyp_0_80","max_chyp_0_80","mean_cfin_below_80","sd_cfin_below_80","min_cfin_below_80","max_cfin_below_80","mean_cgla_below_80","sd_cgla_below_80","min_cgla_below_80","max_cgla_below_80","mean_chyp_below_80","sd_chyp_below_80","min_chyp_below_80","max_chyp_below_80","mean_cfin_total","sd_cfin_total","min_cfin_total","max_cfin_total","mean_cgla_total","sd_cgla_total","min_cgla_total","max_cgla_total","mean_chyp_total","sd_chyp_total","min_chyp_total","max_chyp_total"
1999,1,"Halifax",2587,641.119,219.113,2.963,1334.949,41.79,42.631,0.274,234.382,112.634,159.883,0.105,1531.568,1331.959,837.177,0.507,3030.117,118.285,145.71,0.003,608.951,1115.807,1179.973,0.031,4209.293,1683.208,972.953,2.963,3763.376,134.333,171.327,0.274,803.778,985.612,1218.294,0.105,4511.841
1999,1,"GeorgesNEC",180,553.698,153.722,183.834,944.336,0.295,0.203,0.009,0.848,5.486,5.108,0.121,20.197,1726.478,352.208,796.468,2416.762,0.887,0.539,0.021,1.978,123.829,51.156,27.338,229.216,2280.177,414.342,1045.633,3150.964,1.183,0.716,0.03,2.677,129.315,55.696,27.483,249.239
1999,1,"GMB150",36,1703.441,123.917,1526.008,2092.029,1.847,0.788,0.689,3.147,9.408,12.661,1.252,61.364,2002.087,640.205,20.005,2831.761,2.281,1.447,0.022,5.262,252.046,130.413,0.85,493.584,3705.527,613.843,1574.619,4475.016,4.128,2.158,1.35,8.316,261.454,123.037,62.213,497.657
1999,1,"BOF",44,1462.18,581.311,69.722,2101.861,3.455,1.737,1.078,7.754,47.479,31.909,0.288,114.633,654.722,532.671,3.924,1847.763,0.924,0.716,0.01,2.937,97.152,72.858,0.184,243.142,1923.462,994.524,69.722,3327.587,4.105,1.637,1.078,7.873,115.927,70.184,0.288,253.453
1999,2,"ecomon_14",38,133.607,70.884,34.621,321.729,0,0,0,0,0.147,0.218,0.003,1.067,45.884,31.573,13.215,125.95,0,0,0,0,1.813,2.54,0.245,11.413,179.491,72.944,91.797,378.093,0,0,0,0,1.96,2.73,0.284,12.481
1999,2,"ecomon_15",114,290.389,67.946,115.204,425.418,0,0,0,0,0.512,0.2,0.2,1.049,14.585,10.863,0.728,45.68,0,0,0,0,0.102,0.144,0.001,0.592,293.843,69.768,115.204,437.071,0,0,0,0,0.536,0.21,0.2,1.093
1999,2,"ecomon_16",129,103.023,56.162,24.139,243.612,0,0,0,0,0.225,0.106,0.053,0.485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.023,56.162,24.139,243.612,0,0,0,0,0.225,0.106,0.053,0.485
1999,2,"ecomon_17",30,16.653,7.373,4.685,30.146,0,0,0,0,0.14,0.051,0.062,0.245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.653,7.373,4.685,30.146,0,0,0,0,0.14,0.051,0.062,0.245
1999,2,"ecomon_18",43,276.463,175.887,37.388,581.836,0,0,0,0,0.294,0.325,0.005,1.314,81.769,32.46,29.477,187.237,0,0,0,0,1.908,1.244,0.369,5.899,358.232,166.223,181.788,651.865,0,0,0,0,2.202,1.361,0.411,6.49
1999,2,"ecomon_19",144,427.978,104.213,202.661,620.961,0,0,0,0,0.963,0.465,0.205,2.446,16.173,13.091,0.429,44.243,0,0,0,0,0.106,0.155,0.001,0.538,433.145,107.903,202.661,662.737,0,0,0,0,0.997,0.513,0.424,2.841
